,replication,batch_size,test_batch_size,cuda,scheduler_step_size,scheduler_gamma,min_lr,optimizer,model,dataset,max_epoch,learning_rate,learning_rate_decay,seed,loss,Paralell,Memory,CPU,mean train latency per epoch,mean test latency per epoch,mean cpu usage per epoch
67233d40-2e4f-49dd-ac6a-fc907ec2389b,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,3525100317,CrossEntropyLoss,2,2,0.5,132477.0,36051.0,7.75
dab16c21-6ab5-4579-bf67-dedbb7c8e1e4,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,3333813235,CrossEntropyLoss,3,2,2.0,26809.0,7160.0,51.02500057220459
d7bcdb3e-2a0f-4d44-aad7-44385ad2ae6c,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,1653459514,CrossEntropyLoss,3,2,0.5,90913.75,21832.0,7.200000047683716
a0657d60-64e5-40ef-ada9-38b1bcb3500b,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,2117414640,CrossEntropyLoss,2,2,1.2,47661.75,12723.25,15.799999952316284
a18669f3-d117-4b79-b114-1c8d269e1bb3,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,428745159,CrossEntropyLoss,3,2,1.2,44675.5,8240.75,11.400000095367432
e67ad7f9-654a-4a9d-8777-3089108b8c53,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,786669843,CrossEntropyLoss,5,2,2.0,165981.5,23319.25,15.200000047683716
9e196c4d-84f3-479e-93db-fd7db09dba20,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,1758409464,CrossEntropyLoss,3,2,1.2,452852.0,107731.25,31.449999809265137
202887ef-7675-4b99-8543-cd39170f5780,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,136064561,CrossEntropyLoss,5,2,0.5,674051.5,157147.75,13.924999713897705
2829c78e-fa97-423b-b98a-b4b77fe0f290,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,2226215882,CrossEntropyLoss,5,2,1.2,27231.25,7340.5,30.84999942779541
6f9b266f-2305-4b64-aa20-e4a2e115ee4b,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,1041122920,CrossEntropyLoss,2,2,2.0,246104.0,58650.75,25.424999713897705
83fef6ee-f3b5-480d-af22-8775d7c8bbac,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,512944510,CrossEntropyLoss,5,2,1.2,276324.25,64981.0,30.90000057220459
92148ee2-7ef8-401e-93fd-b0222b397ea1,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,132974600,CrossEntropyLoss,5,2,0.5,66576.25,17747.0,13.474999904632568
bd3d1fe5-d427-481e-8173-5bcb002e802a,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,4263540781,CrossEntropyLoss,2,2,1.2,44375.25,12772.75,16.399999618530273
d80bb4fe-55ae-4342-a86b-458739e20627,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,3554671794,CrossEntropyLoss,2,2,0.5,1045725.5,245532.75,7.649999976158142
d352a8cc-9ad5-414e-a860-e77c90726176,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,2373117920,CrossEntropyLoss,2,2,2.0,39626.0,10679.0,51.375000953674316
30d0c147-d215-4370-b9af-7461e47f8ddc,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,3830031252,CrossEntropyLoss,2,2,0.5,114974.25,31201.0,7.549999952316284
ee4d842f-9edd-4e65-9b5b-df4f41767a10,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,4035618774,CrossEntropyLoss,5,2,2.0,16067.75,2938.5,18.65000009536743
a0d21d24-f5e4-4048-b458-87bcfbed5bbb,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,2076328479,CrossEntropyLoss,3,2,0.5,1125049.75,263580.25,13.699999809265137
c711dce0-a2a1-47db-ae9c-98f95b44f978,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,1474224046,CrossEntropyLoss,3,2,2.0,272074.0,64491.25,50.900001525878906
63c4c3c0-c29d-4020-bf05-759c2370be1d,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,2341021917,CrossEntropyLoss,2,2,1.2,408798.25,98253.25,15.849999904632568
9c7665ee-c040-4e1f-852c-bc545ca35c2b,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,2130511722,CrossEntropyLoss,3,2,0.5,109747.75,29601.0,13.87499976158142
2c824a08-b988-4c1a-b587-bbfb263f5fae,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,3793772530,CrossEntropyLoss,3,2,2.0,26527.75,7212.75,51.25
b6347c55-b28f-4fcb-b5c3-b9312649b2a2,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,298839409,CrossEntropyLoss,2,2,2.0,27418.0,7509.5,26.774999618530273
b4fcf50a-d9e7-46fa-8c9f-636c02783ed4,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,3021042074,CrossEntropyLoss,3,2,0.5,96974.5,26074.0,13.699999809265137
9a1a4602-d167-4b32-8b7b-f089e5599454,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,2276969332,CrossEntropyLoss,2,2,2.0,250491.0,60571.5,26.800000190734863
796e27cb-e328-4506-be96-d0e6b5ec584d,0,64,64,False,50,0.5,1e-10,Adam,Cifar10ResNet,cifar10,5,0.001,0.1,4196162687,CrossEntropyLoss,3,2,2.0,276049.5,67068.5,51.14999961853027
f76965f9-1ca5-4bcc-aec8-a3eef65f02f2,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,3087587177,CrossEntropyLoss,2,2,0.5,125128.0,28547.25,6.225000023841858
e4fbb6a8-fff8-45b3-9a55-ef2053da38e3,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,3402216436,CrossEntropyLoss,3,2,2.0,26680.25,4870.75,17.77500057220459
1c28d7bb-27f1-4ec4-9424-92c5297a62e8,0,64,64,False,50,0.5,1e-10,Adam,Cifar10CNN,cifar10,5,0.001,0.1,2196211146,CrossEntropyLoss,2,2,1.2,67077.25,18561.0,31.524999618530273
